fix fLANG all langevin 1.0 1.0 1.0 100
fix NVE all nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr5_eps_rep1_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin300_n_vesicles0/Movie_2d_eps_attr5_eps_rep1_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin300_n_vesicles0.xyz id type mol x y z
run 1000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 190 190 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 7.419 | 7.419 | 7.419 Mbytes
   Step          Temp          Press          TotEng         E_pair    
    116000   0.98506159     0.0016451633  -9.9352633     -10.918683    
    117000   1.0227401      0.00065619198 -9.8744019     -10.895437    
    118000   1.0416513      0.001096161   -9.9430804     -10.982996    
    119000   1.0626167      0.00044698311 -9.8945315     -10.955377    
    120000   0.97465829     0.002598465   -10.140465     -11.113499    
    121000   0.94402221     0.0016128443  -10.289055     -11.231504    
    122000   0.9804039      0.0010835607  -10.315309     -11.294078    
    123000   0.94804397    -0.00058738914 -10.493785     -11.440249    
    124000   0.98666134     0.00077771221 -10.438116     -11.423133    
    125000   0.95634216     0.0010815478  -10.603308     -11.558056    
    126000   0.98032688     0.00036675061 -10.505229     -11.483922    
    127000   1.117845       0.0022986945  -10.48852      -11.604502    
    128000   1.0252314      0.00085244992 -10.608714     -11.632237    
    129000   0.95922392     0.00058319772 -10.627464     -11.585089    
    130000   1.0132154      0.0017716605  -10.598746     -11.610273    
    131000   1.0346932      0.00057171717 -10.572136     -11.605105    
    132000   0.95863804     0.00032443807 -10.612816     -11.569857    
    133000   1.0346006      0.0018651049  -10.633208     -11.666084    
    134000   0.98014465    -0.00097769544 -11.194614     -12.173125    
    135000   1.0359086      0.00062918804 -11.296255     -12.330437    
    136000   1.0102702      0.001112707   -11.301101     -12.309688    
    137000   0.98560941     0.0015013826  -11.461388     -12.445355    
    138000   0.96248289     0.00083188186 -11.497995     -12.458874    
    139000   1.020102       0.0010610483  -11.347906     -12.366308    
    140000   1.0454322      0.0011612439  -11.458201     -12.501891    
    141000   1.0123556      0.0025485497  -11.481752     -12.492421    
    142000   0.95515719     0.0023428591  -11.549258     -12.502823    
    143000   0.97287988     0.0025086381  -11.629521     -12.60078     
    144000   0.98798973     0.0023543131  -11.765361     -12.751704    
    145000   0.96420873    -0.00047090592 -11.756033     -12.718635    
    146000   1.0186112      0.00032277565 -11.668003     -12.684916    
    147000   1.0015416      0.0018467081  -11.943202     -12.943074    
    148000   0.99072651     0.0012548295  -11.982215     -12.97129     
    149000   1.042353       0.0011710373  -11.9639       -13.004516    
    150000   1.0413094      0.00081481627 -11.892037     -12.931611    
    151000   1.0062163     -0.00092711436 -11.972189     -12.976729    
    152000   1.052601      -0.00091906252 -11.996355     -13.047201    
    153000   0.98564915     0.00066344446 -12.083628     -13.067635    
    154000   1.0040772      0.00095116043 -12.018734     -13.021138    
    155000   1.0464179      0.00039331932 -12.034653     -13.079327    
    156000   1.0420449     -0.00021439001 -12.166825     -13.207134    
    157000   0.98679621     5.5474649e-05 -12.128827     -13.113979    
    158000   0.96807465     0.0014583575  -12.381839     -13.3483      
    159000   0.98903591     0.00030549591 -12.423855     -13.411242    
    160000   1.1081729      0.0017582591  -12.163976     -13.270302    
    161000   0.97178114     0.00025090088 -12.311091     -13.281252    
    162000   1.0142321     -0.0018593038  -12.303686     -13.316227    
    163000   1.0072554      0.00097812641 -12.299365     -13.304942    
    164000   0.95923087     0.00067858889 -12.343699     -13.301331    
    165000   0.98654925     0.0023416058  -12.400944     -13.385849    
    166000   1.0153405      0.0010347826  -12.358103     -13.371752    
    167000   1.0173241      0.0014295458  -12.326488     -13.342116    
    168000   0.99909746     0.00011341555 -12.389821     -13.387253    
    169000   0.95991761    -0.0012564929  -12.46805      -13.426368    
    170000   0.98587816     0.001439356   -12.471986     -13.456221    
    171000   0.89943482    -7.4218711e-05 -12.483501     -13.381437    
    172000   0.99164895     0.00015819603 -12.404386     -13.394382    
    173000   1.004793      -0.00067850164 -12.430569     -13.433687    
    174000   1.0550643      0.0017457023  -12.481598     -13.534904    
    175000   0.97188277     0.0012282041  -12.562834     -13.533097    
    176000   0.98473        0.0016285823  -12.601179     -13.584268    
    177000   1.036222       0.00036728284 -12.665727     -13.700222    
    178000   1.0688871     -0.0010354177  -12.652337     -13.719443    
    179000   1.0378361      0.0024004052  -12.701372     -13.737478    
    180000   1.3255703      0.0018354736  -12.533033     -13.856394    
ERROR: Lost atoms: original 600 current 598 (../thermo.cpp:481)
Last command: run 1000000
